"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1892613806745858485","Thu Feb 20 16:51:53 +0000 2025","8","@hi_merah Berarti surat tsb benar?","1892618185494442377","","hi_merah","in","Indonesia","0","2","1","https://x.com/PartaiSocmed/status/1892618185494442377","869327120","PartaiSocmed"
"1892613806745858485","Thu Feb 20 16:34:29 +0000 2025","350","Jika surat ini benar maka ini adalah bentuk insubordinasi yg sangat berbahaya bagi demokrasi di Indonesia. Surat ini (sekali lagi jika benar) hanya menjadi pembenaran bahwa kepala daerah tidak perlu lagi lewat pemilihan langsung! Seberapa pentingkah Hasto?","1892613806745858485","","","in","Indonesia","7","102","75","https://x.com/PartaiSocmed/status/1892613806745858485","869327120","PartaiSocmed"
"1892556775997526191","Thu Feb 20 16:26:40 +0000 2025","0","@kokokdirgantoro Ampuuun","1892611840682734032","","kokokdirgantoro","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1892611840682734032","869327120","PartaiSocmed"
"1892593893935358152","Thu Feb 20 15:15:21 +0000 2025","265","Pengkhianat demokrasi ini tanpa malu koar2 soal Indonesia Raya! Menjual suara rakyat dgn cara menggantikan kader2nya sendiri yg terpilih dgn siapapun yg berani beli kursi DPR dgn harga mahal. Doa kader2 PDIP yg terdzolimi oleh Hasto terjawab tuntas malam ini! https://t.co/VEcmgf40Qm","1892593893935358152","https://pbs.twimg.com/media/GkPYHOlbkAAyPf6.jpg","","in","Indonesia","4","37","72","https://x.com/PartaiSocmed/status/1892593893935358152","869327120","PartaiSocmed"
"1892037308754387317","Thu Feb 20 15:05:14 +0000 2025","0","@99arsyadsholeh @hampasuara Ajak2 apaan?","1892591347900858836","","99arsyadsholeh","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1892591347900858836","869327120","PartaiSocmed"
"1892589444797968445","Thu Feb 20 15:04:31 +0000 2025","3","@HelmiAlHazziq Welcome back","1892591168887931189","","HelmiAlHazziq","en","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1892591168887931189","869327120","PartaiSocmed"
"1892589444797968445","Thu Feb 20 14:57:40 +0000 2025","221","Hasto hari ini sudah ditahan KPK mari kita tunggu realisasi ancaman Megawati. Kira2 bakal omdo tidak? Perlu diketahui surat PAW yg membatalkan pelantikan Riezky Aprilia yg berhak jadi anggota DPR diganti Harun Masiku yg berani bayar mahal itu ditandatangani oleh Hasto dan Mega https://t.co/hHMIW5xBeI","1892589444797968445","https://pbs.twimg.com/media/GkPUEdJa0AAaY1Y.jpg","","in","Indonesia","7","33","60","https://x.com/PartaiSocmed/status/1892589444797968445","869327120","PartaiSocmed"
"1892573302935195706","Thu Feb 20 13:53:32 +0000 2025","558","Emangnya kasus Hasto cuma Harun Masiku doang? Belum kebuka saja kasus Patra Jasa dan Pertamina.","1892573302935195706","","","in","Indonesia","7","55","119","https://x.com/PartaiSocmed/status/1892573302935195706","869327120","PartaiSocmed"
"1892571337559830974","Thu Feb 20 13:45:43 +0000 2025","215","Nikmat Tuhan yang manakah yang kau dustakan? Silakan PDIP menikmati hasil Revisi UU KPK yg mereka dukung dan inisiasi saat berkuasa dulu. https://t.co/fqDpIm1ZVw","1892571337559830974","https://pbs.twimg.com/media/GkPDmNEWcAA1qG4.jpg","","in","Indonesia","3","8","58","https://x.com/PartaiSocmed/status/1892571337559830974","869327120","PartaiSocmed"
"1892566336204894641","Thu Feb 20 13:25:51 +0000 2025","267","Saat ini situasi Hasto sudah nothing to lose jadi harusnya Connie tanpa beban membuka video yg katanya disimpan di Rusia itu ke publik. Tapi kami sudah kasih bocoran bahwa video yg dimaksud itu cuma monolog Hasto sendiri. Info A99 jarang meleset kan? https://t.co/U4YfVkmYjj","1892566336204894641","https://pbs.twimg.com/media/GkO_DaOW4AA_WV_.jpg","","in","Indonesia","4","24","56","https://x.com/PartaiSocmed/status/1892566336204894641","869327120","PartaiSocmed"
"1892555828273856830","Thu Feb 20 13:18:10 +0000 2025","23","@DeddyDermawan @susipudjiastuti Dulu kan memang pernah ada video percakapan Kang @DediMulyadi71 yg meminta bu @susipudjiastuti untuk membantunya. Jadi kemungkinan bisa jadi benar.","1892564404996104577","","DeddyDermawan","in","Indonesia","0","1","1","https://x.com/PartaiSocmed/status/1892564404996104577","869327120","PartaiSocmed"
