"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1897517657626132690","Thu Mar 06 16:06:58 +0000 2025","6","@hikeshii Karena impornya dipersulit oleh regulator","1897680314887245865","","hikeshii","in","Indonesia","0","0","2","https://x.com/PartaiSocmed/status/1897680314887245865","869327120","PartaiSocmed"
"1897658695326269624","Thu Mar 06 15:39:55 +0000 2025","0","@sebutirAtom2 Masih tanya begini? Baca pasal 2 ayat 1 UU tipikor","1897673506181218344","","sebutirAtom2","in","Indonesia","0","2","1","https://x.com/PartaiSocmed/status/1897673506181218344","869327120","PartaiSocmed"
"1897648566052827294","Thu Mar 06 15:01:08 +0000 2025","10","@CibaiBoLanciau Masih di Indonesia berarti kan?","1897663746988011992","","CibaiBoLanciau","in","Indonesia","0","1","1","https://x.com/PartaiSocmed/status/1897663746988011992","869327120","PartaiSocmed"
"1897658695326269624","Thu Mar 06 14:41:04 +0000 2025","256","Anak2 wabah ini memang pede dalam kebotolan. Tindakan korupsi itu tidak hanya memperkaya diri sendiri tapi juga memperkaya orang lain serta korporasi. Baca pasal 2 ayat 1 UU Tipikor.","1897658695326269624","","","in","Indonesia","5","32","51","https://x.com/PartaiSocmed/status/1897658695326269624","869327120","PartaiSocmed"
"1897648566052827294","Thu Mar 06 14:00:49 +0000 2025","741","Kami setuju codeblue ini ditangkap sebab apa yg dilakukannya itu sudah tergolong pemerasan. Preman digital macam begini membahayakan industri kuliner Indonesia dan UMKM.","1897648566052827294","","","in","Indonesia","4","43","174","https://x.com/PartaiSocmed/status/1897648566052827294","869327120","PartaiSocmed"
"1896242069682966602","Thu Mar 06 13:53:57 +0000 2025","2","@casteloseven Sesudah","1897646838544740757","","casteloseven","in","Indonesia","0","0","0","https://x.com/PartaiSocmed/status/1897646838544740757","869327120","PartaiSocmed"
"1897514769374204318","Thu Mar 06 13:53:11 +0000 2025","1","@johnnie_muhan @armangn8 HUAHAHAAA","1897646646068154549","","johnnie_muhan","tl","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1897646646068154549","869327120","PartaiSocmed"
"1897639887832317968","Thu Mar 06 13:36:56 +0000 2025","7","@intanalyze @hendrikk168 https://t.co/ON7ursaT8I","1897642554549588190","https://pbs.twimg.com/media/GlXH2LxXMAEyuWf.jpg","intanalyze","qme","Indonesia","1","0","1","https://x.com/PartaiSocmed/status/1897642554549588190","869327120","PartaiSocmed"
"1897581517024743657","Thu Mar 06 13:34:58 +0000 2025","0","@arlandmohammad Kami tidak mengikuti. Ada apakah?","1897642060045566239","","arlandmohammad","in","Indonesia","0","1","1","https://x.com/PartaiSocmed/status/1897642060045566239","869327120","PartaiSocmed"
"1897581517024743657","Thu Mar 06 13:26:46 +0000 2025","7","@indahkatulis @PDemokrat Kami kurang tahu masalahnya","1897639998792618447","","indahkatulis","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1897639998792618447","869327120","PartaiSocmed"
