"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1900181369193717818","Thu Mar 13 14:10:11 +0000 2025","3","@Top8rendusara HUAHAHAAA Pertanyaan bagus","1900187639648559221","","Top8rendusara","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1900187639648559221","869327120","PartaiSocmed"
"1900181369193717818","Thu Mar 13 14:08:41 +0000 2025","71","Jangan2 Ahok tidak tahu apa2 atau..? https://t.co/AaynjNJzDB","1900187260668256265","https://pbs.twimg.com/media/Gl7SPkYakAAFnwA.jpg","PartaiSocmed","in","Indonesia","3","18","10","https://x.com/PartaiSocmed/status/1900187260668256265","869327120","PartaiSocmed"
"1900181369193717818","Thu Mar 13 14:02:07 +0000 2025","3","@Top8rendusara Kan pernah kami sampaikan jika mau serius buka2an bisa mengarah ke elite partainya sendiri. Ternyata Ahok tidak tahu banyak..","1900185610239042048","","Top8rendusara","in","Indonesia","0","3","0","https://x.com/PartaiSocmed/status/1900185610239042048","869327120","PartaiSocmed"
"1900181369193717818","Thu Mar 13 13:56:47 +0000 2025","4","@MahaYakuza Sing ade ape de ","1900184265599439157","","MahaYakuza","en","Indonesia","0","0","0","https://x.com/PartaiSocmed/status/1900184265599439157","869327120","PartaiSocmed"
"1900181369193717818","Thu Mar 13 13:45:16 +0000 2025","166","How it started How it's going https://t.co/JicmOTWK0h","1900181369193717818","https://pbs.twimg.com/ext_tw_video_thumb/1900181290596655104/pu/img/5KtM5OaAwmZv4o9E.jpg","","en","Indonesia","10","36","55","https://x.com/PartaiSocmed/status/1900181369193717818","869327120","PartaiSocmed"
"1900151549751378425","Thu Mar 13 13:09:35 +0000 2025","1","@_P0T4T0_ @bakuldimsum_ Bisa jadi bisa jadi","1900172387133313359","","_P0T4T0_","in","Indonesia","0","0","0","https://x.com/PartaiSocmed/status/1900172387133313359","869327120","PartaiSocmed"
"1900168574993633728","Thu Mar 13 12:54:26 +0000 2025","43","Dan ini armadillo https://t.co/cemL62Zegf","1900168574993633728","https://pbs.twimg.com/media/Gl7BP3uXoAAnuoz.jpg","","in","Indonesia","1","4","5","https://x.com/PartaiSocmed/status/1900168574993633728","869327120","PartaiSocmed"
"1900151549751378425","Thu Mar 13 12:44:54 +0000 2025","2","@johnnie_muhan @bakuldimsum_ Iyalah","1900166174538862677","","johnnie_muhan","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1900166174538862677","869327120","PartaiSocmed"
"1900151549751378425","Thu Mar 13 11:46:47 +0000 2025","85","Sebut saja akunnya @bakuldimsum_ ndoro. Mungkin justru dia menjadikan pendukung salah satu capres sebagai captive marketnya. Secara kami yg dulu pernah ikut bantu promote dagangannya saja dia maki2 hanya karena beda pandangan politik.","1900151549751378425","","","in","Indonesia","0","10","17","https://x.com/PartaiSocmed/status/1900151549751378425","869327120","PartaiSocmed"
"1900075479174205531","Thu Mar 13 08:32:31 +0000 2025","4","@tigermbul Eyang putri cuma janji sorga. Hasto kini jadi paria..","1900102661900472386","","tigermbul","in","Indonesia","0","0","1","https://x.com/PartaiSocmed/status/1900102661900472386","869327120","PartaiSocmed"
"1899664693826142637","Thu Mar 13 07:49:22 +0000 2025","4","@faridhcrb Larilah kamu @faridhcrb https://t.co/Yc5O09elHV","1900091803618918659","","faridhcrb","in","Indonesia","0","1","1","https://x.com/PartaiSocmed/status/1900091803618918659","869327120","PartaiSocmed"
"1899664693826142637","Thu Mar 13 07:39:47 +0000 2025","0","@faridhcrb Artinya apa jika tidak mau klarifikasi?","1900089392842367276","","faridhcrb","in","Indonesia","0","1","0","https://x.com/PartaiSocmed/status/1900089392842367276","869327120","PartaiSocmed"
"1900089201875406855","Thu Mar 13 07:39:02 +0000 2025","265","Postingan2 kami selalu bisa dipertanggungjawabkan. Kenapa hingga saat ini PDIP tidak kunjung melaporkan akun kami terkait keponakan Megawati yg terlibat bandar judol? Karena fakta!!","1900089201875406855","","","in","Indonesia","1","19","81","https://x.com/PartaiSocmed/status/1900089201875406855","869327120","PartaiSocmed"
"1899664693826142637","Thu Mar 13 07:34:16 +0000 2025","23","Masih berani bilang postingan Didu itu tidak asli? https://t.co/RhvRwNBVtp","1900088005005894062","","PartaiSocmed","in","Indonesia","0","1","5","https://x.com/PartaiSocmed/status/1900088005005894062","869327120","PartaiSocmed"
"1900087179441025282","Thu Mar 13 07:31:00 +0000 2025","168","Salah! Negara tidak ambil profit tapi boncos oleh kelakuan korup pertamina dan para politisi. Modusnya mereka bikin harga keekonomian yg tinggi (include upeti utk politisi yg support mafia impor). Lalu negara membayar kompensasi atas harga keekonomian yg over price itu.","1900087179441025282","","","in","Indonesia","0","11","53","https://x.com/PartaiSocmed/status/1900087179441025282","869327120","PartaiSocmed"
"1899664693826142637","Thu Mar 13 07:16:50 +0000 2025","31","Postingan kami selalu bisa dipertanggungjawabkan. Silakan Said Didu laporkan kami jika postingan tsb hoax. Jangan samakan dgn dirimu yg koar2 bongkar kasus tapi begitu direspon oleh Sahroni langsung nyembah2 minta maaf sambil delete postingan. https://t.co/fEV4Mes2BL","1900083616363012106","","PartaiSocmed","in","Indonesia","1","3","13","https://x.com/PartaiSocmed/status/1900083616363012106","869327120","PartaiSocmed"
