"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1862123302703202426","Thu Nov 28 13:16:06 +0000 2024","15","Ada harapan lagi nih... https://t.co/r7PusvAkpp","1862123302703202426","https://pbs.twimg.com/media/GdeXRmrWMAAcym7.jpg","","in","🌞","0","4","10","https://x.com/SantorinisSun/status/1862123302703202426","980685208969031680","SantorinisSun"
"1862056516960035102","Thu Nov 28 12:29:55 +0000 2024","1","@herman_chou73 Oposisi??? Siapa yg oposisi? Saya bkn kader atau simpatisan partai ttt. Bbrp kali jg saya mendukung program pemerintahan baru. Cara saya bernarasi ga perlu kamu atur. Saya termasuk yg tdk pernah mempersalahkan PS ga punya ibu negara. Begitu jg dgn status 3 org lainnya.","1862111679339020645","","herman_chou73","in","🌞","1","1","0","https://x.com/SantorinisSun/status/1862111679339020645","980685208969031680","SantorinisSun"
"1862045416847712467","Thu Nov 28 09:45:05 +0000 2024","2","@Judakusumah1 @ridwankamil @PKSejahtera @pramonoanung @tvOneNews @KompasTV @CNNIndonesia @Metro_TV Suswono kacau euy Kang","1862070200218333462","","Judakusumah1","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1862070200218333462","980685208969031680","SantorinisSun"
"1862045416847712467","Thu Nov 28 09:44:38 +0000 2024","1","@EsterSusiani2 Kan sempet heboh waktu cerainya","1862070084078051437","","EsterSusiani2","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1862070084078051437","980685208969031680","SantorinisSun"
"1862018978941698557","Thu Nov 28 09:43:53 +0000 2024","0","@Desto11879838 Betul bro","1862069896995365190","","Desto11879838","en","🌞","0","0","0","https://x.com/SantorinisSun/status/1862069896995365190","980685208969031680","SantorinisSun"
"1862045416847712467","Thu Nov 28 09:43:37 +0000 2024","0","@Desto11879838 Pas kebetulan bro","1862069829513154894","","Desto11879838","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1862069829513154894","980685208969031680","SantorinisSun"
"1862059847283597387","Thu Nov 28 09:43:01 +0000 2024","1","@hansssolo Pas aja brader... Di pulau Jawa semua domisilinya. Makanya saya tambahin yg Jakarta","1862069677431947480","","hansssolo","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1862069677431947480","980685208969031680","SantorinisSun"
"1862045416847712467","Thu Nov 28 09:42:11 +0000 2024","2","@Judakusumah1 @ridwankamil @PKSejahtera @pramonoanung @tvOneNews @KompasTV @CNNIndonesia @Metro_TV Ya kabeneran pas we eta mah nya kang","1862069469176299538","","Judakusumah1","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1862069469176299538","980685208969031680","SantorinisSun"
"1862045416847712467","Thu Nov 28 09:41:43 +0000 2024","0","@loeksmeand Emang ga apa2 kok. Cuma kebetulan aja itu.","1862069349588300031","","loeksmeand","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1862069349588300031","980685208969031680","SantorinisSun"
"1862056516960035102","Thu Nov 28 09:40:41 +0000 2024","0","@herman_chou73 Ga ada yg melecehkan. Itu sekedar fakta &amp; kebetulan saja. Ga ada jg kalimat yg meremehkan status itu. Jadi santai aja","1862069089109504284","","herman_chou73","in","🌞","1","1","0","https://x.com/SantorinisSun/status/1862069089109504284","980685208969031680","SantorinisSun"
