"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1899997004333555717","Thu Mar 13 03:49:14 +0000 2025","0","@JokesBats @Ahok Bacot!","1900031373290987906","","JokesBats","en","🌞","0","0","0","https://x.com/SantorinisSun/status/1900031373290987906","980685208969031680","SantorinisSun"
"1900013619339035101","Thu Mar 13 02:51:49 +0000 2025","1","@feroferraferri Biar mereka tau rasa kali ini","1900016923532026274","","feroferraferri","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1900016923532026274","980685208969031680","SantorinisSun"
"1900016785472315700","Thu Mar 13 02:51:16 +0000 2025","6","Kurang info orang-orang itu. Di setiap misa itu ada Salam Damai . Suruh liat aja di misa online kalo ga percaya. Jadi soal damai sama sekali bukan masalah buat gereja.","1900016785472315700","","","in","🌞","0","2","3","https://x.com/SantorinisSun/status/1900016785472315700","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:44:59 +0000 2025","3","@feroferraferri Ya diaga asal ngomong. Detail juga datanya","1900015203376652617","","feroferraferri","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1900015203376652617","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:41:36 +0000 2025","2","@agent_pin @andre_rosiade Awas dijebak bro https://t.co/LGEGyuHB2p","1900014350456537507","https://pbs.twimg.com/media/Gl40-3GbYAEhe5a.jpg","agent_pin","in","🌞","1","0","0","https://x.com/SantorinisSun/status/1900014350456537507","980685208969031680","SantorinisSun"
"1900013619339035101","Thu Mar 13 02:38:42 +0000 2025","105","Sayangnya kalo Ahok ga bisa dipake dulu baru dijebak https://t.co/ND6sIp8bCi","1900013619339035101","https://pbs.twimg.com/media/Gl40UWOXcAAegGE.jpg","","in","🌞","2","13","37","https://x.com/SantorinisSun/status/1900013619339035101","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:31:28 +0000 2025","1","@Bobby77H Belom sidang jadi kayanya tertutup bro","1900011802391699820","","Bobby77H","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1900011802391699820","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:30:37 +0000 2025","3","@totoher52164552 Yes. Dia selalu nyerang target sesuai kasusnya. Ga kaya si Andre yg nyerangnya Ahok mulu","1900011586804474344","","totoher52164552","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1900011586804474344","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:09:42 +0000 2025","2","@AntoniusCDN Entah bisa sampai level mana kebongkarnya ya bro","1900006323334635720","","AntoniusCDN","in","🌞","0","0","0","https://x.com/SantorinisSun/status/1900006323334635720","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:09:23 +0000 2025","1","@DrPullmanrogers @basuki_btp Ameeen... Good night for you sis","1900006241457627468","","DrPullmanrogers","en","🌞","0","0","0","https://x.com/SantorinisSun/status/1900006241457627468","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 02:08:30 +0000 2025","1","@RaniKancana Malah bisa jadi paling pucuk","1900006020648493192","","RaniKancana","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1900006020648493192","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 01:56:24 +0000 2025","1","@RaniKancana Si ET na mah bakal aya nu ngabekinan pasti","1900002977194402259","","RaniKancana","tl","🌞","0","1","0","https://x.com/SantorinisSun/status/1900002977194402259","980685208969031680","SantorinisSun"
"1899997004333555717","Thu Mar 13 01:46:28 +0000 2025","3","@RaniKancana Kroni nya teh?","1900000477523435673","","RaniKancana","in","🌞","0","1","0","https://x.com/SantorinisSun/status/1900000477523435673","980685208969031680","SantorinisSun"
