"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1892587789268484214","Thu Feb 20 16:10:10 +0000 2025","0","@odejale lagi gurah anune pake anggur..","1892607689324101952","","odejale","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1892607689324101952","799023207294504960","__LOVE_AG4EVER"
"1892587789268484214","Thu Feb 20 16:08:59 +0000 2025","0","@Wage_Esuk nahkan....","1892607390178038068","","Wage_Esuk","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1892607390178038068","799023207294504960","__LOVE_AG4EVER"
"1892587789268484214","Thu Feb 20 16:08:02 +0000 2025","0","@Dwikoen_Images ","1892607153300443442","","Dwikoen_Images","qme","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1892607153300443442","799023207294504960","__LOVE_AG4EVER"
"1892587789268484214","Thu Feb 20 14:51:06 +0000 2025","82","Bu Megawati...itu pak Hasto sudah ditahan KPK bu Nazar ibu mau datangi KPK Jika Hasto ditahan Kapan akan dilaksanakannya bu..?? - https://t.co/Le7W7187S9","1892587789268484214","https://pbs.twimg.com/amplify_video_thumb/1892587663854817280/img/vrB_n6AQ_K1m1r4b.jpg","","in","Sweet home","4","24","24","https://x.com/__LOVE_AG4EVER/status/1892587789268484214","799023207294504960","__LOVE_AG4EVER"
"1892510827376480657","Thu Feb 20 14:42:10 +0000 2025","0","@titit_ketjil ohh ini akun barumu yaa?","1892585540890857655","","titit_ketjil","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1892585540890857655","799023207294504960","__LOVE_AG4EVER"
"1892510827376480657","Thu Feb 20 14:03:13 +0000 2025","0","@titit_ketjil Kenapa memang harus ganti Ava?","1892575742342672808","","titit_ketjil","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1892575742342672808","799023207294504960","__LOVE_AG4EVER"
"1892510827376480657","Thu Feb 20 09:45:17 +0000 2025","54","MENGEJUTKAN Polisi menetapkan Nikita Mirzani sebagai tersangka dugaan Pemerasan terhadap dokter Reza Gladys. Nikita dilaporkan Dokter Reza Gladys Ke polda Metro Jaya terkait kasus dugaan pemerasan Pengancaman &amp; tindak Pidana Pencucian Uang (TPPU). Jika Nikita masuk penjara https://t.co/dpWM1K5lIG","1892510827376480657","https://pbs.twimg.com/amplify_video_thumb/1892510691917213696/img/v_uFJyLWA8W2S_bx.jpg","","in","Sweet home","1","3","25","https://x.com/__LOVE_AG4EVER/status/1892510827376480657","799023207294504960","__LOVE_AG4EVER"
"1892109671168868512","Wed Feb 19 07:11:13 +0000 2025","136","Namanya @virdianaurellio (Virdian Aurellio). Saat kampanye pilpres Doi adalah Corong banteng https://t.co/1U9bWyGx0R Sekarang di garis depan berdemo bawa bawa nama rakyat. Ketahuan sekarang demo Mahasewa #IndonesiaGelap dimobilisasi dari kandang siapa bukan murni https://t.co/hQtkNj9mOw","1892109671168868512","https://pbs.twimg.com/amplify_video_thumb/1892109565585653760/img/imd2B0DAaKsGfKCT.jpg","","in","Sweet home","7","77","53","https://x.com/__LOVE_AG4EVER/status/1892109671168868512","799023207294504960","__LOVE_AG4EVER"
"1890698073132958116","Wed Feb 19 03:55:32 +0000 2025","0","@MaliqRidwane @Gerindra aamiin ya robb ️","1892060422922174823","","MaliqRidwane","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1892060422922174823","799023207294504960","__LOVE_AG4EVER"
"1892003440907387348","Wed Feb 19 02:12:12 +0000 2025","0","@lulus_ujh67 @BANGSAygSUJUD ","1892034420820816362","","lulus_ujh67","qme","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1892034420820816362","799023207294504960","__LOVE_AG4EVER"
"1892003440907387348","Wed Feb 19 00:09:06 +0000 2025","128","Baru dengar isu THR Gaji ke 13 untuk PNS dan swasta tidak akan dibayar Tagar #IndonesiaGelap pun bertengger. Baru diprovokasi KIP Kuliah akan dihentikan sebagai dampak efisiensi anggaran Mahasiswa tumpah ruah turun ke jalan usung tagar #DaruratPendidikan. Nih dengar https://t.co/FPvbLf5DXa","1892003440907387348","https://pbs.twimg.com/amplify_video_thumb/1892003381901676544/img/eZ024OlBbPlFLqu3.jpg","","in","Sweet home","8","111","42","https://x.com/__LOVE_AG4EVER/status/1892003440907387348","799023207294504960","__LOVE_AG4EVER"
"1891759469639630953","Tue Feb 18 07:59:39 +0000 2025","35","BPI Danantara Resmi berdiri dengan modal awal 1000Triliyun Langkah kongkrit menuju kemandirian di bidang ekonomi. Seandainya Gebrakan pemerintahan Prabowo - Gibran ini dilaksanakan sejak 5 tahun lalu Indonesia tak perlu pusing mencari investor dari luar. Untuk Mahasewa https://t.co/SpVwCBULTT","1891759469639630953","https://pbs.twimg.com/amplify_video_thumb/1891759406888714240/img/fRxwxEvw3adrWA2n.jpg","","in","Sweet home","0","18","13","https://x.com/__LOVE_AG4EVER/status/1891759469639630953","799023207294504960","__LOVE_AG4EVER"
"1891727992348365101","Tue Feb 18 05:54:34 +0000 2025","88","Nusron Wahid Respons #KaburAjaDulu: Itu Menandakan Kurang Cinta Tanah Air. SETUJU PAKE BANGET - - https://t.co/cF7nelX3Xi https://t.co/cbfhdRfY1m","1891727992348365101","https://pbs.twimg.com/media/GkDB0jSaAAES3j3.jpg","","in","Sweet home","16","184","20","https://x.com/__LOVE_AG4EVER/status/1891727992348365101","799023207294504960","__LOVE_AG4EVER"
"1891391312513097918","Mon Feb 17 08:25:49 +0000 2025","2","@R_min80 yang paling penting sih amanah agar program presiden @prabowo bisa berjalan lancar","1891403666898264125","","R_min80","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1891403666898264125","799023207294504960","__LOVE_AG4EVER"
"1891391312513097918","Mon Feb 17 07:36:43 +0000 2025","50","DANANTARA VIRAL...!!! Perwujudan Tri Sakti Bung Karno. Kemandirian Bangsa di bidang ekonomi Danantara adalah Badan Pengelola Investasi Daya Anagata Nusantara. Akan meluncur pada 24 Februari 2025 mendatang. Badan ini akan menjadi cara optimalisasi BUMN di bawah pemerintah yang https://t.co/LeploXZ3Ra","1891391312513097918","https://pbs.twimg.com/amplify_video_thumb/1891391218187411456/img/NanzykxYoUbxbDNA.jpg","","in","Sweet home","1","9","20","https://x.com/__LOVE_AG4EVER/status/1891391312513097918","799023207294504960","__LOVE_AG4EVER"
"1890914001724572130","Sun Feb 16 08:52:58 +0000 2025","0","@al_edden ","1891048110534619637","","al_edden","qme","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1891048110534619637","799023207294504960","__LOVE_AG4EVER"
