"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1919006168866869423","Sun May 04 14:47:51 +0000 2025","0","@harsowid ini sih nggak mas","1919041287694495790","","harsowid","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919041287694495790","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 13:49:47 +0000 2025","1","@abby6mei semoga bisa baik2 say jadi ga perlu ribut2.","1919026672981946520","","abby6mei","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1919026672981946520","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 13:49:03 +0000 2025","0","@RAbdinyo ","1919026490378715166","","RAbdinyo","qme","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919026490378715166","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 13:48:30 +0000 2025","0","@yngwieocalasty1 terima kasih ya mas jadi tercerahkan","1919026350096060738","","yngwieocalasty1","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919026350096060738","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:55:30 +0000 2025","1","@Rian__Az @NayDonuts setuju dgnmu","1919013014260617606","","Rian__Az","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919013014260617606","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:43:52 +0000 2025","0","@Minietweets_ @tekarok007 kartu kredit beb","1919010083897270775","","Minietweets_","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919010083897270775","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:37:44 +0000 2025","1","@xquitavee iya say jadi harus hati2 telaah tagihan bulanan.","1919008543769817183","","xquitavee","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1919008543769817183","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:35:47 +0000 2025","2","@tekarok007 ini sdh kartu yg kedua sepertinya harus pindah bank .","1919008050779725846","","tekarok007","in","Sweet home","0","2","0","https://x.com/__LOVE_AG4EVER/status/1919008050779725846","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:34:55 +0000 2025","1","@Minnie_imut iya kasian adikku mana dia sakit lagi","1919007831811883316","","Minnie_imut","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1919007831811883316","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:34:16 +0000 2025","0","@Minietweets_ kartu kredit beb tapi aku sdh suruh dia berhenti aja jangan gunakan lagi .","1919007668674674774","","Minietweets_","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1919007668674674774","799023207294504960","__LOVE_AG4EVER"
"1919006168866869423","Sun May 04 12:28:18 +0000 2025","30","KECEWA DENGAN SALAH SATU BANK SWASTA. Adikku pemegang kartu kredit salah satu bank swasta ini sdh kali kedua kartunya dibobol beberapa bulan lalu kartunya digunakan utk 2 kali transaksi di super market daerah Ancol nah ini ketahuan tanpa sengaja adikku cek transaksi ada https://t.co/pitP5vGHzf","1919006168866869423","https://pbs.twimg.com/media/GqGt73YakAAEBto.jpg","","in","Sweet home","1","20","16","https://x.com/__LOVE_AG4EVER/status/1919006168866869423","799023207294504960","__LOVE_AG4EVER"
"1918517652345241703","Sun May 04 02:47:12 +0000 2025","0","@Dedy_313 @prabowo setuju denganmu mas ","1918859928644501827","","Dedy_313","in","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1918859928644501827","799023207294504960","__LOVE_AG4EVER"
"1918539900930146561","Sun May 04 02:46:12 +0000 2025","2","@AndreasSolusi @prabowo @_MbakSri_ @are_inismyname @balapurik @sarah_pndjtn @mas_veel Gibran hanya sasaran antara sasaran yang sesungguhnya sih Prabowo.","1918859678819266638","","AndreasSolusi","in","Sweet home","0","2","0","https://x.com/__LOVE_AG4EVER/status/1918859678819266638","799023207294504960","__LOVE_AG4EVER"
"1918569491677462899","Sun May 04 02:44:21 +0000 2025","1","@PartaiSocmed @Andiarief__ kok ga tau malu yaa koalisi rasa oposisi. CC @SBYudhoyono @AgusYudhoyono","1918859213301805549","","PartaiSocmed","in","Sweet home","0","1","0","https://x.com/__LOVE_AG4EVER/status/1918859213301805549","799023207294504960","__LOVE_AG4EVER"
"1918517652345241703","Sat May 03 04:07:07 +0000 2025","51","Mau pake istilah matahari kembar bulan kembar bahkan gunung kembar sekalipun Presiden @prabowo bukanlah orang bodoh yang mudah diprovokasi. Para purnawirawan adalah rakyat biasa hanya kebetulan mereka mantan jenderal aksi mereka bisa dikesankan sebagai indikasi keadaan https://t.co/CirE8xBjdu","1918517652345241703","https://pbs.twimg.com/amplify_video_thumb/1918517350011453440/img/jybIxJS-rlukWXiY.jpg","","in","Sweet home","3","25","22","https://x.com/__LOVE_AG4EVER/status/1918517652345241703","799023207294504960","__LOVE_AG4EVER"
"1918125655117685074","Sat May 03 03:57:45 +0000 2025","0","@TeknikAgun97364 🇲🇨","1918515295095824536","","TeknikAgun97364","qme","Sweet home","0","0","0","https://x.com/__LOVE_AG4EVER/status/1918515295095824536","799023207294504960","__LOVE_AG4EVER"
