"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1877316664502473023","Thu Jan 09 11:29:06 +0000 2025","832","KPU menetapkan Pramono &amp; Rano sebagai Gubernur serta wagub terpilih Jakarta.. Mas Pram juga sudah mengantongi nama2 di tim transisi &amp; segera akan diumumkan tugas utama kita baru dimulai mari kita kawal!! https://t.co/6ltt7UiyM3","1877316664502473023","https://pbs.twimg.com/ext_tw_video_thumb/1877316581589659648/pu/img/kPUtGgu9kABILZgN.jpg","","in","","0","13","158","https://x.com/ekowboy2/status/1877316664502473023","1006827831995711488","ekowboy2"
"1875842254201663941","Sun Jan 05 09:50:19 +0000 2025","60","Penetapan Gubernur 9 Januari KPU juga undang Ridwan Kamil.. Fix ya 4 hari lagi warga Jakarta resmi punya Gubernur baru sekali lagi selamat buat Pramono Anung &amp; Rano Karno https://t.co/XfPMm1tRm2","1875842254201663941","https://pbs.twimg.com/media/GghUheLbwAAydni.jpg","","in","","0","0","24","https://x.com/ekowboy2/status/1875842254201663941","1006827831995711488","ekowboy2"
"1874785879472136323","Thu Jan 02 11:52:40 +0000 2025","945","MK hapus presidential threshold 20% MK sudah kembali ke jalan yang benar!! Kado terbaik tahun baru 2025 untuk rakyat Indonesia Alhamdulillah https://t.co/FOsg1jNEg1","1874785879472136323","https://pbs.twimg.com/ext_tw_video_thumb/1874784795106172928/pu/img/Vn6picE7YWyy5EbS.jpg","","in","","11","59","282","https://x.com/ekowboy2/status/1874785879472136323","1006827831995711488","ekowboy2"
"1874142715467993302","Tue Dec 31 17:16:57 +0000 2024","79","Tahun baru 2025 membawa keteduhan semoga kita semua selalu diberi kesehatan &amp; Jakarta makin maju dibawah Gub Pramono - Wagub Rano.. HAPPY NEW YEAR 2025 https://t.co/GIHoE1z3yw","1874142715467993302","https://pbs.twimg.com/media/GgJK3Rpb0AAGaAV.jpg","","in","","1","7","18","https://x.com/ekowboy2/status/1874142715467993302","1006827831995711488","ekowboy2"
"1873630009627443206","Mon Dec 30 07:19:39 +0000 2024","437","Hasto biasa saja cari aman dengan tidak bongkar kasus formula e tapi dia ambil resiko itu &amp; gak ada tuntutan buat balas budi dari Anies karena udah bantu rebut kursi DKJ.. Hasto sudah siap disalib demi ungkap kebenaran!! https://t.co/8f7QgpY81H","1873630009627443206","https://pbs.twimg.com/ext_tw_video_thumb/1873629873052536832/pu/img/QbxXQqDBLos3d1cs.jpg","","in","","11","126","119","https://x.com/ekowboy2/status/1873630009627443206","1006827831995711488","ekowboy2"
"1873527236072194535","Mon Dec 30 00:31:16 +0000 2024","3171","Suka tidak suka pdip kini ada di barisan oposisi dan yang paling lantang menyuarakan suara rakyat terlepas mereka juga bertanggung jawab terhadap Mulyono.. Satukan suara tolak PPN 12%!! https://t.co/Uz4nWuQmOp","1873527236072194535","https://pbs.twimg.com/media/GgAbFqAbAAApsal.jpg","","in","","30","231","806","https://x.com/ekowboy2/status/1873527236072194535","1006827831995711488","ekowboy2"
"1873368965571080696","Sun Dec 29 14:02:21 +0000 2024","717","Kalo Qodari sudah turun berok artinya gertakan Hasto bukan kaleng-kaleng.. Siapin cemilan yang banyak ini bakal jadi tontonan seru di tahun baru bongkar bongkar!! https://t.co/N9nX3TmxtT","1873368965571080696","https://pbs.twimg.com/ext_tw_video_thumb/1873368725036130304/pu/img/ty3Avs4jDjYExAHM.jpg","","in","","18","146","225","https://x.com/ekowboy2/status/1873368965571080696","1006827831995711488","ekowboy2"
"1872955215844131307","Sat Dec 28 10:38:15 +0000 2024","487","KPK berencana akan panggil Megawati di kasus Hasto.. Ini kasus suap kecil &amp; tidak ada kerugian negara tapi kok banyak dramanya ya akhirnya PDIP merasakan juga pedihnya jadi oposisi!! https://t.co/LVG94eQbfN","1872955215844131307","https://pbs.twimg.com/ext_tw_video_thumb/1872955122005024768/pu/img/y02RAx9zwuEcYLiE.jpg","","in","","4","67","167","https://x.com/ekowboy2/status/1872955215844131307","1006827831995711488","ekowboy2"
"1872929514466230563","Sat Dec 28 08:56:08 +0000 2024","2922","Rosi: Hasto bongkar Kriminalisasi formula E apakah tdk merasa bersalah banyak yg terkena kasus setelah membela anda Anies: banyak sekali yg mengalami termasuk Tom Lembong tapi kami memilih diam.. Silahkan rakyat menilai!! https://t.co/hUKEmasQ52","1872929514466230563","https://pbs.twimg.com/ext_tw_video_thumb/1872929323033960448/pu/img/7vjLcb-KCvK90lII.jpg","","in","","6","57","764","https://x.com/ekowboy2/status/1872929514466230563","1006827831995711488","ekowboy2"
"1872642909490880980","Fri Dec 27 13:57:16 +0000 2024","1664","Sebagai sekjen partai yang berkuasa sepuluh tahun pasti sudah pegang banyak kartu ayo bongkar semua!! Kita tunggu Hasto memasak https://t.co/CisT7XBi6q","1872642909490880980","https://pbs.twimg.com/media/Gfz2s24acAEGHPI.jpg","","in","","33","379","453","https://x.com/ekowboy2/status/1872642909490880980","1006827831995711488","ekowboy2"
