"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1909196975876264206","Mon Apr 07 10:50:04 +0000 2025","2","Enaknya! Koruptor E-KTP Setya Novanto Dapat Remisi Lebaran untuk ke-4 Kali Bisa Cepat Bebas? https://t.co/IGKMD5eaLx","1909196975876264206","","","in","Indonesia","0","0","0","https://x.com/geloraco/status/1909196975876264206","3319260420","geloraco"
"1909195669719724134","Mon Apr 07 10:44:53 +0000 2025","313","Prabowo: Kalau Ada Korupsi Langsung Anda Video Rekam Saja Kirim! https://t.co/KbnCiCJ6lQ","1909195669719724134","","","in","Indonesia","84","396","80","https://x.com/geloraco/status/1909195669719724134","3319260420","geloraco"
"1909119508868194643","Mon Apr 07 05:42:15 +0000 2025","2","Terakhir Bersama Wanita Inisial V Istri Ungkap Kejanggalan Tewasnya Wartawan Situr Wijaya di Hotel https://t.co/ePEK1DYcVn","1909119508868194643","","","in","Indonesia","0","0","1","https://x.com/geloraco/status/1909119508868194643","3319260420","geloraco"
"1909117899031408670","Mon Apr 07 05:35:51 +0000 2025","1","Ini Isi Perjanjian Lisa Mariana dengan RK hingga Fakta Mengejutkan Alasan Terbongkarnya Perselingkuhan https://t.co/iTITOAU2Wn","1909117899031408670","","","in","Indonesia","1","2","2","https://x.com/geloraco/status/1909117899031408670","3319260420","geloraco"
"1909117272431407523","Mon Apr 07 05:33:22 +0000 2025","281","PWI: Kapolri Harusnya Malu Ajudannya Pukul Wartawan Mesti Dicopot dan Disidang Etik https://t.co/Z6VGAxNVhW","1909117272431407523","","","in","Indonesia","8","41","161","https://x.com/geloraco/status/1909117272431407523","3319260420","geloraco"
"1909107967833616411","Mon Apr 07 04:56:23 +0000 2025","17","Viral Serangan Tikus di IKN Kejar-kejaran dengan Wisatawan https://t.co/1Yu6nHAOn4","1909107967833616411","","","in","Indonesia","1","6","2","https://x.com/geloraco/status/1909107967833616411","3319260420","geloraco"
"1909105968279064980","Mon Apr 07 04:48:26 +0000 2025","7","Heboh Permadi Arya alias Abu Janda Diangkat Jadi Komisaris BUMN Jasamarga Tollroad Operator https://t.co/F2zc3WQEUw","1909105968279064980","","","in","Indonesia","0","6","4","https://x.com/geloraco/status/1909105968279064980","3319260420","geloraco"
"1909090517608223003","Mon Apr 07 03:47:03 +0000 2025","579","Pengakuan Fachrul Razi Mantan Menteri Agama Kembali Heboh Singgung Dua Sosok Pembubaran FPI https://t.co/fLtIuhNtMZ","1909090517608223003","","","in","Indonesia","5","21","259","https://x.com/geloraco/status/1909090517608223003","3319260420","geloraco"
"1909088055954485283","Mon Apr 07 03:37:16 +0000 2025","154","Korupsi Berbungkus Zakat untuk Direksi LPEI Memang Mentalnya Sekaliber Fakir Miskin https://t.co/wr2YSP0OX5","1909088055954485283","","","in","Indonesia","3","3","111","https://x.com/geloraco/status/1909088055954485283","3319260420","geloraco"
"1909085653536817314","Mon Apr 07 03:27:43 +0000 2025","16","Publik Berharap Prabowo Pecat Sri Mulyani Perry Warjiyo dan Mahendra Siregar https://t.co/iNRn0HjhpZ","1909085653536817314","","","in","Indonesia","0","5","9","https://x.com/geloraco/status/1909085653536817314","3319260420","geloraco"
"1909066429414150273","Mon Apr 07 02:11:20 +0000 2025","3","Pinjam Uang Rp 400 Ribu Berujung Mutilasi Bobi Gergaji dan Cor Mayat di Bak Mandi https://t.co/b1GLQOyYIZ","1909066429414150273","","","in","Indonesia","0","0","0","https://x.com/geloraco/status/1909066429414150273","3319260420","geloraco"
