"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861428769342529625","Tue Nov 26 23:02:06 +0000 2024","0","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Mau dukung jagoan D3wa Zeus judol padahal nga apa2 juga nga ada yang larang. Pilihan pribadi. Kok masalahkan dukungan orang ke RK dan itu sesuai perintah partai. Masa gue mau dukung jagoan partai merah. Nga usah yeeee","1861545998633574412","","panca66","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861545998633574412","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:57:26 +0000 2024","0","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Malesin ngomong pribadi dikait-kaitkan","1861544821875487124","","BangEdiii","in","Indonesia ","0","2","0","https://x.com/panca66/status/1861544821875487124","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:49:27 +0000 2024","0","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Yakin lah yang sudah terbukti. Kalau belum terbukti namanya praduga","1861542814187954589","","BangEdiii","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861542814187954589","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:43:42 +0000 2024","0","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Yang penting cisssnya bukan dari dewa Z3us judol wkwkwk","1861541366322614313","","BangEdiii","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861541366322614313","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:42:36 +0000 2024","0","@JNdlesep11859 @Top8rendusara @BangEdiii @wakcis @Partono_ADjem Block!!!","1861541092023509240","","JNdlesep11859","en","Indonesia ","0","0","0","https://x.com/panca66/status/1861541092023509240","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:38:34 +0000 2024","0","@JNdlesep11859 @Top8rendusara @BangEdiii @wakcis @Partono_ADjem Kenapa loe nongol2 ngomong taek?","1861540075756216361","","JNdlesep11859","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861540075756216361","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:33:16 +0000 2024","3","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Dibawa joget dulu bang Edi https://t.co/mLlPw1eCcX","1861538741288083686","https://pbs.twimg.com/ext_tw_video_thumb/1861538664209420288/pu/img/PGEkri2w3YlZZZlu.jpg","panca66","in","Indonesia ","0","0","1","https://x.com/panca66/status/1861538741288083686","82042655","panca66"
"1861428769342529625","Tue Nov 26 22:31:45 +0000 2024","2","@BangEdiii @Top8rendusara @wakcis @Partono_ADjem Calon yang didukung D3wa Zeus judol hanya runner up wkwkwk","1861538359556087953","","BangEdiii","in","Indonesia ","0","2","2","https://x.com/panca66/status/1861538359556087953","82042655","panca66"
"1861529212047499438","Tue Nov 26 22:30:31 +0000 2024","1","@sanikomputer_id @msaid_didu Udah sibuk politik nga ngurus klubnya lagi","1861538052063273467","","sanikomputer_id","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861538052063273467","82042655","panca66"
"1861533883285807518","Tue Nov 26 22:13:58 +0000 2024","6","Kapolrestabes Semarang mantan mantunya Kapolri Roesmanhadi. Pernah diperiksa @KPK_RI terkait korupsi Syahrul Yasin Limpo karena istrinya sekarang keponakan SYL. https://t.co/PTjyDM56tb","1861533883285807518","","","in","Indonesia ","0","2","7","https://x.com/panca66/status/1861533883285807518","82042655","panca66"
"1861530836077814038","Tue Nov 26 22:01:51 +0000 2024","16","Kapolrestabesnya periksa itu kemungkinan bohong. Hari gini masih membohongin publik!","1861530836077814038","","","in","Indonesia ","1","2","13","https://x.com/panca66/status/1861530836077814038","82042655","panca66"
"1861529212047499438","Tue Nov 26 21:55:24 +0000 2024","0","Waduh sisa ampas doang kkub puang @msaid_didu sejak ditinggal berpolitik wkwkwk","1861529212047499438","","","in","Indonesia ","0","1","1","https://x.com/panca66/status/1861529212047499438","82042655","panca66"
"1861428769342529625","Tue Nov 26 21:53:27 +0000 2024","1","@Top8rendusara @BangEdiii @wakcis @Partono_ADjem Bang Edi pendukung calon yang didukung kakek Z3us. Udah paham lah kita wkwkwk","1861528721683005475","","Top8rendusara","in","Indonesia ","0","1","1","https://x.com/panca66/status/1861528721683005475","82042655","panca66"
"1861428769342529625","Tue Nov 26 21:45:00 +0000 2024","0","@Top8rendusara @BangEdiii @wakcis @Partono_ADjem @PartaiSocmed Cocok perasaan","1861526596026540212","","Top8rendusara","in","Indonesia ","0","0","1","https://x.com/panca66/status/1861526596026540212","82042655","panca66"
"1861428769342529625","Tue Nov 26 21:43:31 +0000 2024","0","@Partono_ADjem @BangEdiii @wakcis @Top8rendusara Wkwkwk bang Edi duduk manis aja di pojokan nunggu kakek Z3us beraksi","1861526224197263615","","Partono_ADjem","in","Indonesia ","0","0","0","https://x.com/panca66/status/1861526224197263615","82042655","panca66"
"1861405074632962142","Tue Nov 26 14:22:02 +0000 2024","1","@Reiza_Patters @Taufiq_PD_DKI Cissss","1861415119194071077","","Reiza_Patters","und","Indonesia ","0","0","0","https://x.com/panca66/status/1861415119194071077","82042655","panca66"
"1861247208965968124","Tue Nov 26 07:26:33 +0000 2024","0","@Reiza_Patters @BangEdiii Wkwkwk atur aja kalau Tangsel mah","1861310557498003561","","Reiza_Patters","in","Indonesia ","0","0","0","https://x.com/panca66/status/1861310557498003561","82042655","panca66"
"1861255161710309695","Tue Nov 26 03:46:25 +0000 2024","1","Cc puang @msaid_didu ah","1861255161710309695","","","in","Indonesia ","0","1","1","https://x.com/panca66/status/1861255161710309695","82042655","panca66"
"1861247208965968124","Tue Nov 26 03:44:01 +0000 2024","0","@BangEdiii Ya pasti milih cuma 5 menit doang","1861254557323665807","","BangEdiii","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861254557323665807","82042655","panca66"
"1861247208965968124","Tue Nov 26 03:40:43 +0000 2024","0","@BangEdiii Sama dengan Reza Paytrend karena warga Tangsel wkwkwk","1861253725744161211","","BangEdiii","in","Indonesia ","0","2","0","https://x.com/panca66/status/1861253725744161211","82042655","panca66"
"1861061022322446354","Tue Nov 26 03:37:53 +0000 2024","3","@awemany @Reiza_Patters Reiza kacau benar ya ikut gaya2 mainan PDIP sejak dukung Pramono Rano wkwkwk https://t.co/t8uY8dOtnJ","1861253014352470067","https://pbs.twimg.com/ext_tw_video_thumb/1861252984132530176/pu/img/iBbERBk4FM5rFO1H.jpg","awemany","in","Indonesia ","0","1","3","https://x.com/panca66/status/1861253014352470067","82042655","panca66"
"1861014327748444496","Mon Nov 25 23:57:39 +0000 2024","0","@her_alone @rmol_id Pada cuci tangan","1861197588923552095","","panca66","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861197588923552095","82042655","panca66"
"1861061022322446354","Mon Nov 25 23:54:05 +0000 2024","4","@perkasa95 @Reiza_Patters @awemany Kan cara2 seperti itu kebiasaan kubu PDIP untuk nutupin borok yang mereka lakukan dan itu sekarang dilakukan oleh @Reiza_Patters nga nyangka aja sih. Shame on you! https://t.co/ATpCifwKni","1861196690763718906","","panca66","in","Indonesia ","0","1","5","https://x.com/panca66/status/1861196690763718906","82042655","panca66"
"1861014327748444496","Mon Nov 25 23:44:42 +0000 2024","0","@her_alone @rmol_id Hahaha","1861194329659973710","","her_alone","tl","Indonesia ","0","1","0","https://x.com/panca66/status/1861194329659973710","82042655","panca66"
"1861186303242707238","Mon Nov 25 23:31:18 +0000 2024","0","@ivansiregar18 Koplak wkwkwk","1861190956822962347","","ivansiregar18","in","Indonesia ","0","0","0","https://x.com/panca66/status/1861190956822962347","82042655","panca66"
"1861061022322446354","Mon Nov 25 23:30:26 +0000 2024","1","@perkasa95 @Reiza_Patters @awemany Itu mah sembako tebus murah waktu kampanye kemarin. Jangan nyebar hoax!!!","1861190741546148326","","perkasa95","in","Indonesia ","0","1","1","https://x.com/panca66/status/1861190741546148326","82042655","panca66"
"1861190685862551934","Mon Nov 25 23:30:13 +0000 2024","14","Omongan Babe Sabeni ada benarnya. Ngomong aje pintar loe kerja kagak becus hahaha https://t.co/b5JJN2Axhl","1861190685862551934","https://pbs.twimg.com/ext_tw_video_thumb/1861190597203369984/pu/img/0zXKFOI-_MyxdVjJ.jpg","","in","Indonesia ","3","2","7","https://x.com/panca66/status/1861190685862551934","82042655","panca66"
"1861186303242707238","Mon Nov 25 23:22:03 +0000 2024","0","@ivansiregar18 Iya sih. Terus ada jaminan TNI akan lebih baik?","1861188631874216347","","ivansiregar18","in","Indonesia ","0","1","0","https://x.com/panca66/status/1861188631874216347","82042655","panca66"
"1861186303242707238","Mon Nov 25 23:19:24 +0000 2024","0","@ivansiregar18 Hahaha","1861187965541851567","","ivansiregar18","tl","Indonesia ","0","1","0","https://x.com/panca66/status/1861187965541851567","82042655","panca66"
"1861186303242707238","Mon Nov 25 23:12:48 +0000 2024","3","Ada2 aja. Emang TNI punya kemampuan untuk berantas judi online?","1861186303242707238","","","in","Indonesia ","0","3","1","https://x.com/panca66/status/1861186303242707238","82042655","panca66"
"1861041393986338853","Mon Nov 25 22:54:17 +0000 2024","0","@ErickConstant14 @BangEdiii Jossss","1861181644201439424","","ErickConstant14","und","Indonesia ","0","1","0","https://x.com/panca66/status/1861181644201439424","82042655","panca66"
"1861041393986338853","Mon Nov 25 13:53:41 +0000 2024","0","@BangEdiii Mantap hahaha https://t.co/xxXLH6NGQU","1861045596666421277","https://pbs.twimg.com/media/GdPDGmibMAA9v_I.jpg","BangEdiii","tl","Indonesia ","0","1","0","https://x.com/panca66/status/1861045596666421277","82042655","panca66"
"1860998976205729972","Mon Nov 25 10:48:26 +0000 2024","26","BuzzeRp Pramono dan Rano rada deg2an ini. Siapa tahu ada aliran dana dari Zulkarnaen Apriliantony kayak ke @Y_Radianto https://t.co/VenDVEUmDN","1860998976205729972","https://pbs.twimg.com/media/GdOYtPCbgAAIZSD.jpg","","in","Indonesia ","3","2","21","https://x.com/panca66/status/1860998976205729972","82042655","panca66"
"1860966705549435182","Mon Nov 25 10:14:47 +0000 2024","1","@Mas_Hario @inilahdotcom @Partono_ADjem @wakcis @soeyoto1 @Top8rendusara @gatse8 @OnlyFrens @awemany @ajengcute16__ Ngeriii","1860990510317674937","","Mas_Hario","in","Indonesia ","0","1","1","https://x.com/panca66/status/1860990510317674937","82042655","panca66"
"1860897039212761304","Mon Nov 25 04:03:22 +0000 2024","17","Makin mantap nih 1 putaran Ridwan Kamil - Suswono https://t.co/b9hCoEzLWq","1860897039212761304","","","in","Indonesia ","0","2","8","https://x.com/panca66/status/1860897039212761304","82042655","panca66"
"1860890983984156993","Mon Nov 25 03:58:08 +0000 2024","3","@Partono_ADjem Duo Eko keok lagi","1860895721006006645","","Partono_ADjem","in","Indonesia ","0","2","0","https://x.com/panca66/status/1860895721006006645","82042655","panca66"
