"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1893299423456948403","Sat Feb 22 13:58:53 +0000 2025","147","Gerakan Indonesia Gelap lagi2 Pembantu Presiden RI ke 8 Jenderal TNI AD Kopassus Purn Prabowo Subianto dibikin Kebakaran Jenggot ha ha ha padahal mereka tidak ada yang berjenggot tolong ya para pembantu O8 terukur lah dalam menanggapi tiap permasalahan permasalahan biar tidak","1893299423456948403","","","in","Jakarta","6","45","19","https://x.com/ruhutsitompul/status/1893299423456948403","219244515","ruhutsitompul"
"1891831302883864995","Tue Feb 18 12:45:05 +0000 2025","2718","#kaburajadulu tagar ini membuat Para Pembantu Presiden RI ke 8 Jenderal TNI AD Kopassus Purn Bpk Prabowo Subiyanto Kebakaran Jenggot sampai tidak malu mengatakan pergi saja dan tidak usah kembali lagi. Mereka dulu lupa ya Pak Prabowo pernah Kabur ke Luar Negeri Yordania dan","1891831302883864995","","","in","Jakarta","31","231","598","https://x.com/ruhutsitompul/status/1891831302883864995","219244515","ruhutsitompul"
"1889228071481249954","Tue Feb 11 08:20:47 +0000 2025","314","Presiden RI ke 8 Jenderal TNI AD Kopasus Purn Bpk Prabowo Subianto Kami bukan mau memisahkan cuma mau mengingatkan tolong jangan nanti Penilaian Rakyat dan Masyarakat Luar menjadi bingung mana kebijakan Presiden RI ke 7 dan Presiden RI ke 8 Aku meminjam Ucapan Pak Harto Presiden","1889228071481249954","","","in","Jakarta","9","101","43","https://x.com/ruhutsitompul/status/1889228071481249954","219244515","ruhutsitompul"
"1882370209702608926","Thu Jan 23 10:10:05 +0000 2025","426","Negarawan Sejati Ibu Prof DR Megawati Soekarnoputri Presiden RI ke 5 ter️Cinta Ketua Umum PDI Perjuangan Maju terusss m e w a r n a i Kehidupan Berbangsa dan Bernegara Kearifan Kebijaksanaannya yang masih sangat dibutuhkan Kader partai dan Rakyat Indonesia Semoga Ibunda tetap https://t.co/ec8oqnxxBH","1882370209702608926","https://pbs.twimg.com/media/Gh-FufYaUAAqnuD.jpg","","in","Jakarta","5","65","50","https://x.com/ruhutsitompul/status/1882370209702608926","219244515","ruhutsitompul"
"1880580139395998112","Sat Jan 18 11:36:59 +0000 2025","62","Presiden RI Ke 8 Jenderal TNI AD Kopasus Purn Bapak Prabowo Sibiyanto telah memerintahkan segera TNI dan TNI AL segera membongkar Pagar Laut yan dipasang Orang2 Serakah yang sangat merugikab Rakyat Nelayan. Tolong jangan hanya membongkar tapi juga Siapa yang memerintahkan segera https://t.co/qZ0ur0MUG8","1880580139395998112","https://pbs.twimg.com/media/GhkpqoyasAA3cAu.jpg","","in","Jakarta","1","15","1","https://x.com/ruhutsitompul/status/1880580139395998112","219244515","ruhutsitompul"
"1878785919131738575","Mon Jan 13 12:47:23 +0000 2025","1562","Terima kasih Tuhan AnakKu Sarah Lulus yang pertama dari Angkatannya Jurusan Hukum Internasional tepat 3 1/2 tahun Fakultas Hukum Universitas Indonessia Cumlaude Tuhan terusss Memberkati AnakKu Merdeka️🇮🇩. https://t.co/JlPccvbw9R","1878785919131738575","https://pbs.twimg.com/media/GhLJ1KAawAEbstJ.jpg","","in","Jakarta","9","216","86","https://x.com/ruhutsitompul/status/1878785919131738575","219244515","ruhutsitompul"
"1878718105633046547","Mon Jan 13 08:17:55 +0000 2025","201","Noel kau ngebacot apalagi ha ha ha Faktanya Sekjen PDI Perjuangan Mas Hasto sudah pulang selesai diperiksa sebagai t e r s a n g k a buktinya terang benderang kau katakana Hasto tidak berani bongkar kasus artınya kasus itu ada dong nggak malu kau ka cian deh Merdeka🇮🇩.","1878718105633046547","","","in","Jakarta","5","23","28","https://x.com/ruhutsitompul/status/1878718105633046547","219244515","ruhutsitompul"
"1878383452191678883","Sun Jan 12 10:08:08 +0000 2025","52","Pelatih Baru PSSI Patrick Kluivert Kami Rakyat Indonesia puas melihat penampilan yang pertama dari Coach PK Do a Kami Semoga PSSI Sukses masuk Putaran Piala Dunia Tuhan Memberkati Semoga Sukses terusss Merdeka🇮🇩. https://t.co/p2ndHQUXbQ","1878383452191678883","https://pbs.twimg.com/media/GhFbyp_a4AAJr2L.jpg","","in","Jakarta","1","7","6","https://x.com/ruhutsitompul/status/1878383452191678883","219244515","ruhutsitompul"
"1878043941226115444","Sat Jan 11 11:39:02 +0000 2025","230","Ca Imin mengenai PDI Perjuangan terhadap Pemerintahan Prabowo Subiayanto tolong tidak usah kau ajari Ikan berenang Ketua Umum Kami Prof DR Hajah Megawati Soekarnoputri Presiden RI ke 5 sudah tepat apa yang dilakukan Ketua Umum PDi Perjuangan sekarang dan hubungan Ibu da Pak https://t.co/x3gXlExOOv","1878043941226115444","https://pbs.twimg.com/media/GhAnAfGaUAALa6H.jpg","","in","Jakarta","6","63","24","https://x.com/ruhutsitompul/status/1878043941226115444","219244515","ruhutsitompul"
"1877947284035637340","Sat Jan 11 05:14:57 +0000 2025","78","Pagar Misterius di Pinggiran Laut Tangerang tolong segera diusut dan Siapapun dibelakangnya harus ditangkap dan segera di Proses Hukum dan di Hukum seberat beratnya Pemerintahan Prabowo Subiyanto ingat ya jadikanlah Hukum Panglima bukan Kekuasaan Panglima akibatnya Rakyat Kecil","1877947284035637340","","","in","Jakarta","3","12","8","https://x.com/ruhutsitompul/status/1877947284035637340","219244515","ruhutsitompul"
"1877573628843250049","Fri Jan 10 04:30:11 +0000 2025","427","Hari ini PDI Perjuangan Partai Rakyat Indonesia ter️Cinta merayakan Hari Ulang Tahun ke 52 Jaya dan terusss Majulah Tuhan Memberkati Merdeka🇮🇩. https://t.co/ds9ssA7EU2","1877573628843250049","https://pbs.twimg.com/media/Gg57QgvaMAAd6Mj.jpg","","in","Jakarta","6","50","39","https://x.com/ruhutsitompul/status/1877573628843250049","219244515","ruhutsitompul"
"1876962506159321566","Wed Jan 08 12:01:48 +0000 2025","1711","Eh E Simbolon kau sudah dipecat dari PDI Perjuangan jadi tolong tidak usah banyak bacot nyerang2 Ketua Umum PDI Perjuangan Prof DR HC Hajah Megawati Soekarnoputri Presiden RI ke 5 kalau bukan Kader lagi baik 2 saja duduk diboncengan Kader lain yang sudah dipecat Waspada Waspada https://t.co/jI9Ro1dHK9","1876962506159321566","https://pbs.twimg.com/media/GgxPcuOa0AAV0ls.jpg","","in","Jakarta","39","492","348","https://x.com/ruhutsitompul/status/1876962506159321566","219244515","ruhutsitompul"
"1876141928745713787","Mon Jan 06 05:41:07 +0000 2025","35","Ingat ya Bola itu Bundar ada waktunya bisa terjadi yang di Ramalkan m e n a n g bisa eh ta unya k a l a h jadi tolong ya Para Pengamat Sepak Bola jangan terlalu banyak b a c o t apalagi main Sepak bola pun belum pernah dan Kita Do akan Pak Erick Thohir Ketua Umum PSSI dan Pak https://t.co/tZTSt3Ppi4","1876141928745713787","https://pbs.twimg.com/media/GgllI1zb0AA4jTy.jpg","","in","Jakarta","0","36","2","https://x.com/ruhutsitompul/status/1876141928745713787","219244515","ruhutsitompul"
"1857411427579146356","Fri Nov 15 13:12:48 +0000 2024","64","Semakin mendekati tgl 27 November 2024 Para Calon Gubernur dalam Pilkada karena Surveinya melorot eh mulai menjual dengan menampilkan Bpk Prabowo Subianto Presiden RI ke 8 tolong ya jangan cemarkan nama baik Presiden RI yang sedang bekerja keras dengan Para Kabinetnya itu","1857411427579146356","","","in","Jakarta","1","43","7","https://x.com/ruhutsitompul/status/1857411427579146356","219244515","ruhutsitompul"
"1856494759755559197","Wed Nov 13 00:30:17 +0000 2024","205","Presiden RI ke 8 Jenderal Purn TNI AD Bapak Prabowo Subianto yang Arif dan Bijaksana tolong jangan campuri lagi Pesta Demokrasi Pilkada Gubernur dan Wakil Gubernur tinggal mentoring hari 27 November penicillin karena Presiden RI Jabatan yang Sangat Mulia Merdeka🇮🇩.","1856494759755559197","","","in","Jakarta","10","97","21","https://x.com/ruhutsitompul/status/1856494759755559197","219244515","ruhutsitompul"
