Embedding,Algorithm,Silhouette,NMI,RI
indobertweet,KMeans,0.028158994,0.23450205589770837,0.8428791864973386
indobertweet,GMM,0.028355673,0.21986831853958994,0.8403795837613417
indobertweet,Agglomerative,0.009672205,0.25337280780744315,0.8233503428642277
indobert,KMeans,0.036163837,0.19768036149507107,0.8406751666473177
indobert,GMM,0.041299414,0.20896502180491078,0.8461941520891973
indobert,Agglomerative,0.027074007,0.23861762533288106,0.8266882670836323
xlm-roberta,KMeans,0.06908491,0.039928429156791075,0.8184792272268673
xlm-roberta,GMM,0.06739211,0.049030995125876844,0.7822608800180446
xlm-roberta,Agglomerative,0.054829832,0.03959472854776548,0.7929903910378919
mt5,KMeans,0.23393287,0.04098706585145357,0.7903473871193117
mt5,GMM,0.2348097,0.04764756920072551,0.7982998359822218
mt5,Agglomerative,0.2317017,0.027576598659704802,0.7350615345781695
