Embedding,Algorithm,Silhouette,NMI,RI
indobertweet,KMeans,0.035329632,0.34892280910796236,0.8623085567350498
indobertweet,GMM,0.035369497,0.3492667009531662,0.8623397838262639
indobertweet,Agglomerative,0.030462895,0.37854588044341114,0.8481257659346516
indobert,KMeans,0.0460372,0.3167221719098173,0.8551707488113769
indobert,GMM,0.06749099,0.3311635191894537,0.8523901274375913
indobert,Agglomerative,0.042119455,0.3354738005887199,0.8590057210213643
xlm-roberta,KMeans,0.12760943,0.19806970042478475,0.8291718701325715
xlm-roberta,GMM,0.07288529,0.19517992254962815,0.7379177977043555
xlm-roberta,Agglomerative,0.07127943,0.1928462965082678,0.8326574263017563
mt5,KMeans,0.18671194,0.18101948810161422,0.8249818240700938
mt5,GMM,0.19968823,0.17182337821881716,0.8294041006375279
mt5,Agglomerative,0.20197557,0.16317580538770957,0.8053103935091973
