Feature_Combination,Algorithm,N_Features,N_Clusters_Found,NMI,ARI,Runtime_seconds
A_only,KMeans,50,11,0.12215121700001742,0.07978419697568172,0.12598085403442383
A_only,Gaussian_Mixture,50,11,0.13996617686252322,0.11694729619070028,3.7419705390930176
A_only,Agglomerative_Ward,50,11,0.12351520044181943,0.07861145081393932,4.223109483718872
A_only,Agglomerative_Complete,50,11,0.11958495037947685,0.08156920512944103,4.123650789260864
A_only,DBSCAN_auto,50,80,0.08362063675909043,0.005061366440770891,0.0770866870880127
A_only,DBSCAN_tight,50,158,0.10296997972700742,0.006125866056308953,0.07999014854431152
B_only,KMeans,80,11,0.2068613442021463,0.027365302408826266,0.4314408302307129
B_only,Gaussian_Mixture,80,11,0.17767343060200666,0.11254972618971919,8.132948637008667
B_only,Agglomerative_Ward,80,11,0.17496270348100273,0.036475741258552165,5.434845924377441
B_only,Agglomerative_Complete,80,11,0.04753769016299229,0.0020136369347111107,5.26350998878479
B_only,DBSCAN_auto,80,8,0.01777549834350936,1.010671897443928e-05,1.1297509670257568
B_only,DBSCAN_tight,80,47,0.0951826035364603,0.0030714965287119687,0.6982085704803467
C_only,KMeans,80,11,0.3942480601936892,0.24057944423892816,0.8582494258880615
C_only,Gaussian_Mixture,80,11,0.4444594383352127,0.31315330417733617,4.8049821853637695
C_only,Agglomerative_Ward,80,11,0.4087989090638072,0.2655733909440062,5.340185642242432
C_only,Agglomerative_Complete,80,11,0.18185794982140263,0.0842785484146668,5.220282793045044
C_only,DBSCAN_auto,80,19,0.016176768970928266,-0.00012275388787231923,0.10793638229370117
C_only,DBSCAN_tight,80,39,0.024654048752259083,-0.0001478969875942736,0.11870932579040527
A+B,KMeans,130,11,0.12215121700001742,0.07978419697568172,0.28644347190856934
A+B,Gaussian_Mixture,130,11,0.23438537905352397,0.16807626412596854,11.832861185073853
A+B,Agglomerative_Ward,130,11,0.12351520044181943,0.07861145081393932,6.064737558364868
A+B,Agglomerative_Complete,130,11,0.11958495037947685,0.08156920512944103,5.958688020706177
A+B,DBSCAN_auto,130,85,0.08775408694296057,0.00468348412701521,0.15218353271484375
A+B,DBSCAN_tight,130,154,0.10487931351481657,0.0053607443399943475,0.15801501274108887
A+C,KMeans,130,11,0.12330388897899851,0.07946076343846026,0.23752403259277344
A+C,Gaussian_Mixture,130,11,0.22301243543216165,0.15119764311764072,20.3296902179718
A+C,Agglomerative_Ward,130,11,0.12351520044181943,0.07861145081393932,6.248026371002197
A+C,Agglomerative_Complete,130,11,0.12285068171861055,0.08400645767498813,6.080847978591919
A+C,DBSCAN_auto,130,19,0.016176768970928266,-0.00012275388787231923,0.16055035591125488
A+C,DBSCAN_tight,130,38,0.02436210157064541,-0.0001596457823811088,0.16143345832824707
B+C,KMeans,160,11,0.3939440043739819,0.239948147661446,1.387204647064209
B+C,Gaussian_Mixture,160,11,0.3127218861644132,0.20066262166039497,14.276381492614746
B+C,Agglomerative_Ward,160,11,0.4033727776904402,0.26416515068577984,7.25836968421936
B+C,Agglomerative_Complete,160,11,0.16438248137516911,0.0929748311005515,7.118042469024658
B+C,DBSCAN_auto,160,19,0.016176768970928266,-0.00012275388787231923,0.19065093994140625
B+C,DBSCAN_tight,160,38,0.02436210157064541,-0.0001596457823811088,0.17955231666564941
A+B+C,KMeans,210,11,0.12330388897899851,0.07946076343846026,0.4455108642578125
A+B+C,Gaussian_Mixture,210,11,0.26023023916533256,0.1649212282343693,31.294597625732422
A+B+C,Agglomerative_Ward,210,11,0.12351520044181943,0.07861145081393932,8.161696672439575
A+B+C,Agglomerative_Complete,210,11,0.12285068171861055,0.08400645767498813,7.988018035888672
A+B+C,DBSCAN_auto,210,19,0.016176768970928266,-0.00012275388787231923,0.24634432792663574
A+B+C,DBSCAN_tight,210,38,0.02436210157064541,-0.0001596457823811088,0.24476361274719238
