Feature_Combination,Algorithm,N_Features,N_Clusters_Found,NMI,ARI,Runtime_seconds
A_only,KMeans,50,11,0.09434033642514199,0.06984004132523375,0.11766624450683594
A_only,Gaussian_Mixture,50,11,0.2074255605554748,0.15545284508048,4.149313688278198
A_only,Agglomerative_Ward,50,11,0.09557941867920017,0.06832913005031611,4.589234113693237
A_only,Agglomerative_Complete,50,11,0.09763694685852399,0.08329188030608713,4.484935283660889
A_only,DBSCAN_auto,50,29,0.021246997996820817,0.00015203431298854334,0.08250045776367188
A_only,DBSCAN_tight,50,73,0.036831373160114145,0.0003720083545587924,0.08195829391479492
B_only,KMeans,80,11,0.20943194936755974,0.06795825989696411,0.49611544609069824
B_only,Gaussian_Mixture,80,11,0.3122036469144405,0.2232781279068087,8.764673471450806
B_only,Agglomerative_Ward,80,11,0.1849643010092833,0.01821700946745771,5.752175807952881
B_only,Agglomerative_Complete,80,11,0.03909335347646035,0.0003217736233825971,5.58800196647644
B_only,DBSCAN_auto,80,2,0.000267636056819515,2.060738985739145e-05,1.2508018016815186
B_only,DBSCAN_tight,80,24,0.039850862775023435,0.0006238362999856745,0.6652710437774658
C_only,KMeans,80,11,0.38943178445111154,0.23195100961699927,0.988530158996582
C_only,Gaussian_Mixture,80,11,0.4362507873064361,0.3073448927625064,4.972109794616699
C_only,Agglomerative_Ward,80,11,0.4037420720837703,0.2514146067471625,5.715722322463989
C_only,Agglomerative_Complete,80,11,0.199052101375045,0.07246386718493569,5.5754241943359375
C_only,DBSCAN_auto,80,19,0.015677054433172438,-9.915185542801212e-05,0.11642646789550781
C_only,DBSCAN_tight,80,49,0.027396896566613968,-1.9675114509284545e-05,0.1116189956665039
A+B,KMeans,130,11,0.09434033642514199,0.06984004132523375,0.34297680854797363
A+B,Gaussian_Mixture,130,11,0.30385635181256304,0.21929939627138711,14.847404718399048
A+B,Agglomerative_Ward,130,11,0.09557941867920017,0.06832913005031611,6.592915058135986
A+B,Agglomerative_Complete,130,11,0.09763694685852399,0.08329188030608713,6.489804267883301
A+B,DBSCAN_auto,130,26,0.019564710356018693,7.859839339171093e-05,0.16815900802612305
A+B,DBSCAN_tight,130,74,0.03624814465769351,0.00033532925690029866,0.16892504692077637
A+C,KMeans,130,11,0.09434033642514199,0.06984004132523375,0.32518506050109863
A+C,Gaussian_Mixture,130,11,0.2892795440822525,0.22859759603336333,14.7073814868927
A+C,Agglomerative_Ward,130,11,0.09615551103000972,0.07619921893097249,6.480489253997803
A+C,Agglomerative_Complete,130,11,0.09978619333369808,0.08107571452459833,6.292661428451538
A+C,DBSCAN_auto,130,19,0.015677054433172438,-9.915185542801212e-05,0.16541743278503418
A+C,DBSCAN_tight,130,48,0.027122444792954805,-2.8689412876468243e-05,0.1659228801727295
B+C,KMeans,160,11,0.3892504575580419,0.232005559183393,1.3824920654296875
B+C,Gaussian_Mixture,160,11,0.3826010377942132,0.25645434221832725,21.362733364105225
B+C,Agglomerative_Ward,160,11,0.38984298467721845,0.231056489978024,7.799372673034668
B+C,Agglomerative_Complete,160,11,0.22134997356354344,0.12849287654631344,7.621535539627075
B+C,DBSCAN_auto,160,19,0.015677054433172438,-9.915185542801212e-05,0.2026805877685547
B+C,DBSCAN_tight,160,48,0.027122444792954805,-2.8689412876468243e-05,0.19929742813110352
A+B+C,KMeans,210,11,0.09434033642514199,0.06984004132523375,0.5592045783996582
A+B+C,Gaussian_Mixture,210,11,0.25009992096974976,0.17364526420239254,26.673139810562134
A+B+C,Agglomerative_Ward,210,11,0.09615551103000972,0.07619921893097249,9.04821252822876
A+B+C,Agglomerative_Complete,210,11,0.09978619333369808,0.08107571452459833,8.843677759170532
A+B+C,DBSCAN_auto,210,19,0.015677054433172438,-9.915185542801212e-05,0.2566514015197754
A+B+C,DBSCAN_tight,210,48,0.027122444792954805,-2.8689412876468243e-05,0.2577543258666992
