Feature_Combination,Algorithm,N_Features,N_Clusters_Found,NMI,ARI,Runtime_seconds
A_only,KMeans,50,11,0.22626439506271231,0.12100167602619283,0.8180828094482422
A_only,Gaussian_Mixture,50,11,0.27534358843029366,0.19449864339597314,6.690438985824585
A_only,Agglomerative_Ward,50,11,0.20780933139848884,0.09949467019573045,4.975377559661865
A_only,Agglomerative_Complete,50,11,0.008230623778192208,0.0003470784311089407,4.904379844665527
A_only,DBSCAN_auto,50,29,0.02141943405824213,0.00013231955398867654,0.08228516578674316
A_only,DBSCAN_tight,50,61,0.031187877216188997,0.00014122920977452193,0.08382558822631836
B_only,KMeans,80,11,0.08289244190334577,0.005754090289987627,0.7336430549621582
B_only,Gaussian_Mixture,80,11,0.20463232143091373,0.12225759922536632,4.647937297821045
B_only,Agglomerative_Ward,80,11,0.040116193816928214,0.00031631009895472553,5.841103553771973
B_only,Agglomerative_Complete,80,11,0.03230906801700385,-6.687997087677185e-05,5.662941217422485
B_only,DBSCAN_auto,80,40,0.038922467354050694,0.0021654324054272496,0.1127166748046875
B_only,DBSCAN_tight,80,98,0.055718650286427474,0.0020043702653844034,0.11380743980407715
C_only,KMeans,80,11,0.3642257544017702,0.24131721172945955,1.2684314250946045
C_only,Gaussian_Mixture,80,11,0.4251471076564558,0.2727294566663873,6.671143293380737
C_only,Agglomerative_Ward,80,11,0.2985873867014347,0.14292972341085217,5.851658344268799
C_only,Agglomerative_Complete,80,11,0.01098178287588453,0.0008532128246404708,5.693040370941162
C_only,DBSCAN_auto,80,19,0.015677054433172438,-9.915185542801212e-05,0.11277556419372559
C_only,DBSCAN_tight,80,48,0.027122444792954805,-2.8689412876468243e-05,0.1142580509185791
A+B,KMeans,130,11,0.2658335441007415,0.17908133155583042,1.2815680503845215
A+B,Gaussian_Mixture,130,11,0.3502690253439645,0.24789546125663842,10.071896314620972
A+B,Agglomerative_Ward,130,11,0.2616018971985999,0.13117377815812464,7.0285844802856445
A+B,Agglomerative_Complete,130,11,0.0469526046274559,0.0005514035394105899,6.894388675689697
A+B,DBSCAN_auto,130,21,0.016751654160757877,-6.394528121112804e-05,0.16628742218017578
A+B,DBSCAN_tight,130,52,0.028160211252218223,1.3697749270647178e-06,0.16508817672729492
A+C,KMeans,130,11,0.2744957949376015,0.15155495774982378,1.378598690032959
A+C,Gaussian_Mixture,130,11,0.340749893211295,0.21944313829194936,14.31010890007019
A+C,Agglomerative_Ward,130,11,0.3415855989129905,0.24450074264489616,7.064959526062012
A+C,Agglomerative_Complete,130,11,0.015200756703462315,-0.0008136290094920488,6.945225477218628
A+C,DBSCAN_auto,130,19,0.015677054433172438,-9.915185542801212e-05,0.166306734085083
A+C,DBSCAN_tight,130,48,0.027122444792954805,-2.8689412876468243e-05,0.16583895683288574
B+C,KMeans,160,11,0.28182687304313314,0.12231684594015749,1.5765278339385986
B+C,Gaussian_Mixture,160,11,0.3491721699811763,0.21021915990990925,31.90540099143982
B+C,Agglomerative_Ward,160,11,0.1440971265460919,0.007634171141076698,7.951026916503906
B+C,Agglomerative_Complete,160,11,0.042503248596324796,0.0004218510111590814,7.835587501525879
B+C,DBSCAN_auto,160,19,0.015677054433172438,-9.915185542801212e-05,0.1975717544555664
B+C,DBSCAN_tight,160,48,0.027122444792954805,-2.8689412876468243e-05,0.19812679290771484
A+B+C,KMeans,210,11,0.36566660444307586,0.25529648188946147,1.485356330871582
A+B+C,Gaussian_Mixture,210,11,0.4173940126861233,0.3024447260700913,29.60301399230957
A+B+C,Agglomerative_Ward,210,11,0.33961011616090847,0.24283747173432738,9.285447597503662
A+B+C,Agglomerative_Complete,210,11,0.04297986263168059,0.0005597866052107984,9.161633729934692
A+B+C,DBSCAN_auto,210,19,0.015677054433172438,-9.915185542801212e-05,0.2539956569671631
A+B+C,DBSCAN_tight,210,48,0.027122444792954805,-2.8689412876468243e-05,0.2562837600708008
